"ID","ts","x","y","sl","ta"
"01elk",2020-06-24 04:00:00,-993.548402620712,-265.990275578573,82.6239538754469,NA
"01elk",2020-06-24 05:00:00,-914.142505460652,-243.155625368468,53.887383069434,1.18002235657985
"01elk",2020-06-24 06:00:00,-908.186097523663,-189.598447898403,33.4489366516387,-0.0804124797835009
"01elk",2020-06-24 07:00:00,-901.830437279656,-156.75888416823,40.6385213512646,0.184106348081327
"01elk",2020-06-24 08:00:00,-901.543254137621,-116.121377558447,59.8562974350924,-1.38270439545642
"01elk",2020-06-24 09:00:00,-842.665029403637,-105.344968378544,118.66753389241,-0.439114417595204
"01elk",2020-06-24 10:00:00,-727.927833844675,-135.632912438363,151.648449032242,0.171211249096852
"01elk",2020-06-24 11:00:00,-576.851330907666,-148.791269258596,183.342249601161,0.273567409420042
"01elk",2020-06-24 12:00:00,-396.694817977608,-114.761703617871,222.420561887479,0.262758996155059
"01elk",2020-06-24 13:00:00,-196.363527321722,-18.126925538294,238.397835658236,-0.0914077534457682
"01elk",2020-06-24 14:00:00,26.9163759003859,65.4171518320218,228.630899522954,-0.160567223991689
"01elk",2020-06-24 15:00:00,251.103928708355,110.272802341729,155.043668143904,-0.0121413642486585
"01elk",2020-06-24 16:00:00,403.492493704311,138.843141681515,21.4385570919958,-0.67484089877761
"01elk",2020-06-24 17:00:00,422.413389736321,128.762892501429,60.1617914383392,-1.93321182306547
"01elk",2020-06-24 18:00:00,377.138688705279,89.1441772822291,61.3209370447621,0.248447561810374
"01elk",2020-06-24 19:00:00,342.338528835331,38.6545130619779,93.8431493036454,-0.439108801559809
"01elk",2020-06-24 20:00:00,261.285239314311,-8.64137395843863,121.579726568867,-0.133309999178408
"01elk",2020-06-24 21:00:00,149.06292370928,-55.4151036879048,127.397512149063,0.0865479781581291
"01elk",2020-06-24 22:00:00,36.1473202103516,-114.408260818571,156.149872538853,-0.192446937977568
"01elk",2020-06-24 23:00:00,-113.52683842869,-158.910271218047,171.15314006494,-0.116010520224581
"01elk",2020-06-25 00:00:00,-282.125397845637,-188.370806118473,165.065953905643,0.255032359333238
"01elk",2020-06-25 01:00:00,-432.300403818721,-256.885306187905,172.701102434501,-0.313291994738983
"01elk",2020-06-25 02:00:00,-603.866091410629,-276.656133768149,166.88445788574,-0.126886473599599
"01elk",2020-06-25 03:00:00,-770.738221560721,-274.627719858661,116.831927235068,0.138598398003923
"01elk",2020-06-25 04:00:00,-886.637440477614,-289.361024848185,6.97749487470065,-2.88116135606666
"01elk",2020-06-25 05:00:00,-880.175633356674,-286.728443708271,70.075579094182,-0.479856186215238
"01elk",2020-06-25 06:00:00,-810.402756657684,-293.234783887863,71.9828134953443,0.218467318986463
"01elk",2020-06-25 07:00:00,-738.98594639462,-284.22564127855,24.6379292949175,-0.00710057619540905
"01elk",2020-06-25 08:00:00,-714.52046696865,-281.315679698251,4.11268319763422,1.89359583350817
"01elk",2020-06-25 09:00:00,-716.276628628722,-277.596800928004,52.6781162009905,-1.59335192050336
"01elk",2020-06-25 10:00:00,-668.147425073665,-256.182700628415,27.420992380933,-0.0677704456517505
"01elk",2020-06-25 11:00:00,-642.396977706696,-246.757983998396,44.8431278913275,2.30431013049625
"01elk",2020-06-25 12:00:00,-682.03876510961,-225.795283538289,60.3044126598269,0.538050099879434
"01elk",2020-06-25 13:00:00,-742.262831399683,-228.90720026847,55.8794404197106,0.683349847284289
"01elk",2020-06-25 14:00:00,-783.716808968689,-266.378250498325,66.0923038729572,-1.07422700162367
"01elk",2020-06-25 15:00:00,-846.042133303708,-244.384010848589,58.22942047693,-0.0825725729258417
"01elk",2020-06-25 16:00:00,-899.167392248637,-220.543451477773,95.4320835022793,1.25138759274272
"01elk",2020-06-25 17:00:00,-963.60287170962,-290.937709398568,93.2748982313848,-0.373717913229162
"01elk",2020-06-25 18:00:00,-1047.3533551807,-331.999408808537,44.8201998362298,-1.09478322616473
"01elk",2020-06-25 19:00:00,-1083.33188299963,-305.271224258468,38.5263796335551,-0.560578891282955
"01elk",2020-06-25 20:00:00,-1097.30960159563,-269.369896838441,24.7090373923325,0.359723472015737
"01elk",2020-06-25 21:00:00,-1113.80578678066,-250.973908058368,15.1015847736078,0.659846710341571
"01elk",2020-06-25 22:00:00,-1128.66353280365,-248.271086238325,42.6887386671514,-0.101886083890907
"01elk",2020-06-25 23:00:00,-1169.66809972865,-236.398685458116,58.7863134776987,-0.293211622150368
"01elk",2020-06-26 00:00:00,-1218.99973738065,-204.426507257856,50.9819150510171,0.157904467373189
"01elk",2020-06-26 01:00:00,-1265.61004882271,-183.771374008618,67.3729646967761,0.109131649771455
"01elk",2020-06-26 02:00:00,-1329.81241531367,-163.346572687849,66.914601842375,-0.0601083323273919
"01elk",2020-06-26 03:00:00,-1392.24421735562,-139.26682946831,14.8986824417391,-0.847570227602541
"01elk",2020-06-26 04:00:00,-1397.42440072668,-125.297704988159,31.8092760767973,-0.462774808991504
"01elk",2020-06-26 05:00:00,-1394.0062924017,-93.6726108379662,19.013209028663,0.763968464750469
"01elk",2020-06-26 06:00:00,-1405.60802051565,-78.609343518503,16.5321018678191,-1.48542509907661
"01elk",2020-06-26 07:00:00,-1393.41827738867,-67.4415077986196,11.0875161636886,0.441672114906452
"01elk",2020-06-26 08:00:00,-1389.22910894267,-57.1758425785229,4.04728075511972,0.122999412110557
"01elk",2020-06-26 09:00:00,-1388.17123970063,-53.2692591380328,92.8522815370763,-1.44185574437968
"01elk",2020-06-26 10:00:00,-1296.17015998764,-65.8130830479786,310.314123478953,0.263440058666846
"01elk",2020-06-26 11:00:00,-988.391940940637,-26.2223882982507,418.13667236661,0.0476531105176996
"01elk",2020-06-26 12:00:00,-576.684279948706,46.8192344820127,414.435419940996,-0.134893696493578
"01elk",2020-06-26 13:00:00,-162.591910397634,63.6782611813396,406.537865793326,-0.10676852033236
"01elk",2020-06-26 14:00:00,243.058750359342,36.8346818517894,347.091883534547,0.00204836354805149
"01elk",2020-06-26 15:00:00,589.439378940384,14.6257701413706,220.141597533224,0.143573239074588
"01elk",2020-06-26 16:00:00,808.884901653277,32.118212101981,84.9486806316758,0.456249809178149
"01elk",2020-06-26 17:00:00,881.929191668285,75.4865189315751,12.6230464134593,1.1680724963842
