"ID","ts","x","y","sl","ta"
"07deer",2016-05-27 00:00:00,-59.8859221022576,-122.021815747954,160.229107515192,NA
"07deer",2016-05-27 01:00:00,86.5114386137575,-188.996366637759,7.75793221829935,-2.99541869066224
"07deer",2016-05-27 02:00:00,79.0185049987631,-186.806327037513,58.2032176232067,-3.10740340163818
"07deer",2016-05-27 03:00:00,135.772610483691,-201.332667008042,55.0488856313521,0.743820885598465
"07deer",2016-05-27 04:00:00,184.75051283068,-175.608432197943,59.1698488557606,-2.8442380799354
"07deer",2016-05-27 05:00:00,142.619091229746,-217.239582288079,22.8267612811133,0.575762437052777
"07deer",2016-05-27 06:00:00,137.848318354692,-239.424350388348,8.80258756901611,-0.75461427650371
"07deer",2016-05-27 07:00:00,130.563833756722,-244.421051877551,8.4122964422831,-0.407091373473627
"07deer",2016-05-27 08:00:00,122.255996060674,-246.09115785826,57.1666345431504,2.30070636992566
"07deer",2016-05-27 09:00:00,168.437828328693,-279.984599738382,41.3985141948288,-3.08256320570159
"07deer",2016-05-27 10:00:00,133.581269943737,-257.428907537833,167.502572265368,-0.0890422029364544
"07deer",2016-05-27 11:00:00,1.35395083576441,-154.157602177933,168.3762803182,-0.770363366059642
"07deer",2016-05-27 12:00:00,-20.5920556122437,11.6551361717284,284.15407064142,-0.411483431411625
"07deer",2016-05-27 13:00:00,59.0284555257531,282.846091472544,35.8362290595565,2.63080231110073
"07deer",2016-05-27 14:00:00,33.311031291727,257.830962602049,32.2905809023485,-2.8071583958876
"07deer",2016-05-27 15:00:00,47.7021701256745,286.611611052416,35.565800163833,-1.1514793709079
"07deer",2016-05-27 16:00:00,83.5147467816714,285.278335141949,67.2535653361023,1.91356313940094
"07deer",2016-05-27 17:00:00,63.23110294668,348.995272772387,12.2625763118181,-0.36437470066809
"07deer",2016-05-27 18:00:00,63.9772560016718,361.153757072054,13.9858499454942,1.64582133672892
"07deer",2016-05-27 19:00:00,49.8852662737481,360.936132961884,52.9985340475131,1.66587446312024
"07deer",2016-05-27 20:00:00,55.7313018346904,308.617261841893,20.5093402516074,1.38011254556911
"07deer",2016-05-27 21:00:00,76.3307442136575,306.99054304231,20.0458793855326,-1.37142062213938
"07deer",2016-05-27 22:00:00,78.7163560596528,287.221615632065,10.2876758515845,2.47389643616988
"07deer",2016-05-27 23:00:00,84.128985784715,295.942281141877,122.451724911816,-2.80763804164236
"07deer",2016-05-28 00:00:00,57.7588303476805,177.098240622319,212.684554108663,-1.37204932953044
"07deer",2016-05-28 01:00:00,-156.53335862828,180.385342852212,18.1982735329675,2.13127395470479
"07deer",2016-05-28 02:00:00,-147.044399089296,164.927636631764,80.2876530007353,0.411005269601842
"07deer",2016-05-28 03:00:00,-81.0065175823402,118.925446902402,14.3474071120336,-1.49478710874725
"07deer",2016-05-28 04:00:00,-88.4389227882493,106.694229242392,61.1630719511228,2.81406273291507
"07deer",2016-05-28 05:00:00,-41.4315456042532,146.034984972328,16.7851111680708,-0.40190256436745
"07deer",2016-05-28 06:00:00,-25.2798700452549,151.001665301621,16.5072304357257,2.28909622739937
"07deer",2016-05-28 07:00:00,-39.4518115302781,159.571576622315,69.862850558753,-1.37548851749387
"07deer",2016-05-28 08:00:00,-14.9316679952899,224.644094332121,18.6532444036707,0.148609424211313
"07deer",2016-05-28 09:00:00,-11.0658600683091,242.77956486214,136.915624537659,-3.05942230882674
"07deer",2016-05-28 10:00:00,-28.2632286072476,107.829659822397,162.930487826923,0.21550386262741
"07deer",2016-05-28 11:00:00,-13.4195839243475,-53.3237337674946,324.357706235875,3.05453388131465
"07deer",2016-05-28 12:00:00,-14.5549306533067,268.843637691811,165.57434581129,-0.736252373721679
"07deer",2016-05-28 13:00:00,97.0562024096726,391.205581991933,29.4336323988827,1.98656392085998
"07deer",2016-05-28 14:00:00,68.8739345556824,400.289456211962,13.9128507544445,-0.11148567457659
"07deer",2016-05-28 15:00:00,56.1215137797408,406.017961242236,85.0798894310403,2.23278088523054
"07deer",2016-05-28 16:00:00,75.9583625677042,323.82534975186,317.700229938046,-0.944306352853308
"07deer",2016-05-28 17:00:00,-132.922060947283,84.4678365718573,104.832290285728,-0.0183729401560893
"07deer",2016-05-28 18:00:00,-203.306267685257,6.74683344177902,27.7454103961137,-1.11192424829434
"07deer",2016-05-28 19:00:00,-230.249947706237,14.0778795517981,109.786996739847,1.96334248074584
"07deer",2016-05-28 20:00:00,-216.761772596277,-94.1408885782585,102.669743708814,0.0790130459691119
"07deer",2016-05-28 21:00:00,-196.08210767631,-194.038401718251,23.6203870235466,0.606904536238515
"07deer",2016-05-28 22:00:00,-178.872965387302,-210.228303347714,149.185697537572,-0.937199397127164
"07deer",2016-05-28 23:00:00,-198.221390869236,-357.195055807941,155.54570660783,2.14681925652366
"07deer",2016-05-29 00:00:00,-56.8753698152723,-290.269514197484,128.840007011084,0.191040327464733
"07deer",2016-05-29 01:00:00,47.4171808557585,-213.941709008068,19.4455361363541,0.525661450558915
"07deer",2016-05-29 02:00:00,55.1764246777166,-196.197959037498,75.2994622595838,1.51115878269476
"07deer",2016-05-29 03:00:00,-12.5860813102918,-162.612683737651,49.0273489800486,2.7605288354846
"07deer",2016-05-29 04:00:00,20.1008368077455,-199.093438018113,22.3549359691793,2.33076530074852
"07deer",2016-05-29 05:00:00,22.0775494367117,-176.972896127962,41.1834844367943,0.447327620446444
"07deer",2016-05-29 06:00:00,7.47863936971407,-138.697025408037,4.22177360049167,0.839127969821688
